http://viaf.org/viaf/541630	Illustration	1
http://viaf.org/viaf/5416304	Illustration	3
http://viaf.org/viaf/123757	Illustration	1
http://viaf.org/viaf/6646279	Illustration	1
http://viaf.org/viaf/147653	Illustration	4
http://viaf.org/viaf/379995	Illustration	6
http://viaf.org/viaf/2959665	Illustration	1
http://viaf.org/viaf/1478209	Illustration	2
http://viaf.org/viaf/1976245	Illustration	4
http://viaf.org/viaf/493483	Illustration	2
http://viaf.org/viaf/75089	Illustration	1
http://viaf.org/viaf/49381	Illustration	1
http://viaf.org/viaf/172299	Illustration	2
http://viaf.org/viaf/6646279	TextContent	9
http://viaf.org/viaf/345382	TextContent	1
http://viaf.org/viaf/7387249	TextContent	5
http://viaf.org/viaf/124501	TextContent	6
http://viaf.org/viaf/593860	TextContent	1
http://viaf.org/viaf/147653	TextContent	69
http://viaf.org/viaf/5416304	TextContent	1
http://viaf.org/viaf/270637	TextContent	2
http://viaf.org/viaf/3447069	TextContent	7
http://viaf.org/viaf/6155136	TextContent	14
http://viaf.org/viaf/22969606	TextContent	1
http://viaf.org/viaf/1094535	TextContent	1
http://viaf.org/viaf/73794	TextContent	7
http://viaf.org/viaf/1230666	TextContent	2
http://viaf.org/viaf/173091	TextContent	1
http://viaf.org/viaf/10945351	TextContent	9
http://viaf.org/viaf/2707244	TextContent	11
http://viaf.org/viaf/183229	TextContent	3
http://viaf.org/viaf/369357	TextContent	4
http://viaf.org/viaf/871398	TextContent	12
http://viaf.org/viaf/321275	TextContent	4
http://viaf.org/viaf/257078	TextContent	3
http://viaf.org/viaf/81785	TextContent	10
http://viaf.org/viaf/4922234	TextContent	1
http://viaf.org/viaf/738631	TextContent	2
http://viaf.org/viaf/3072118	TextContent	1
http://viaf.org/viaf/689347	TextContent	5
http://viaf.org/viaf/442955	TextContent	1
http://viaf.org/viaf/8267662	TextContent	1
http://viaf.org/viaf/8515203	TextContent	1
http://viaf.org/viaf/496430	TextContent	1
http://viaf.org/viaf/98572	TextContent	1
http://viaf.org/viaf/418595	TextContent	2
http://viaf.org/viaf/4581144	TextContent	8
http://viaf.org/viaf/5908409	TextContent	1
http://viaf.org/viaf/567339	TextContent	1
http://viaf.org/viaf/369230	TextContent	1
http://viaf.org/viaf/3054220	TextContent	4
http://viaf.org/viaf/3705305	TextContent	1
http://viaf.org/viaf/9529413	TextContent	1
http://viaf.org/viaf/1106546	TextContent	1
http://viaf.org/viaf/49381	TextContent	5
http://viaf.org/viaf/764354	TextContent	3
http://viaf.org/viaf/369948	TextContent	1
http://viaf.org/viaf/1976245	TextContent	2
http://viaf.org/viaf/615513	TextContent	1
http://viaf.org/viaf/99707	TextContent	1
http://viaf.org/viaf/3939071	TextContent	1
http://viaf.org/viaf/445029	TextContent	1
http://viaf.org/viaf/8208	Music	1
http://viaf.org/viaf/124501	Music	4
unauthorized	Illustration	31
unauthorized	TextContent	258
unauthorized	Music	6
unauthorized	SponsoredAdvertisement	0
anonymous	Illustration	68
anonymous	TextContent	272
anonymous	Music	11
anonymous	SponsoredAdvertisement	26
